PLOTID;QuadrantID;Landscape_type;Landscape_type_2;Plot_type;Plot_type_2;Landscape_Plot;BIN_Richness;RL_Richness;BIN_Coleoptera;BIN_Diptera;BIN_Hemiptera;BIN_Hymenoptera;BIN_Lepidoptera;BIN_Orthoptera;BIN_Rest;Visit;Date start;Date end;Day start;Day end;Day mean;Duration;Biomass;Biomass_per_day;Excluded;Average_temperature;Average_humidity;Long-Term Mean Annual Precipitation;Long-Term Mean Annual Average Near Surface Temperature;point_x;point_y;Elevation
5636_4_G;5636_4;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;04.08.2019;19.08.2019;216;231;223,5;15;17,94;1,2;0;18,34729948;75,1545026;803,2;7,681666667;3700131,311;5580679,993;551
5637_3_A;5637_3;Urban;c;arable field;c;c_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;757,8333333;7,724722222;3702728,561;5582170,587;558
5637_3_A;5637_3;Urban;c;arable field;c;c_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;26.04.2019;16.05.2019;116;136;126;20;5,27;0,26;0;7,71803373;81,06917857;757,8333333;7,724722222;3702728,561;5582170,587;558
5637_3_A;5637_3;Urban;c;arable field;c;c_c;183;1;14;128;7;18;11;0;3;5;16.05.2019;31.05.2019;136;151;143,5;15;8,18;0,545333333;0;12,93298177;80,79604427;757,8333333;7,724722222;3702728,561;5582170,587;558
5637_3_A;5637_3;Urban;c;arable field;c;c_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;31.05.2019;15.06.2019;151;166;158,5;15;13,05;0,87;0;19,73385417;68,48577083;757,8333333;7,724722222;3702728,561;5582170,587;558
5637_3_A;5637_3;Urban;c;arable field;c;c_c;215;5;18;123;6;37;21;1;8;7;15.06.2019;04.07.2019;166;185;175,5;19;21,4;1,13;0;21,80854167;57,58726667;757,8333333;7,724722222;3702728,561;5582170,587;558
5637_3_A;5637_3;Urban;c;arable field;c;c_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;04.07.2019;19.07.2019;185;200;192,5;15;NA;NA;1;16,64347656;67,42295573;757,8333333;7,724722222;3702728,561;5582170,587;558
5637_3_A;5637_3;Urban;c;arable field;c;c_c;217;6;22;102;12;29;21;8;9;9;19.07.2019;04.08.2019;200;216;208;16;12,73;0,8;0;21,69855637;63,32207598;757,8333333;7,724722222;3702728,561;5582170,587;558
5637_3_A;5637_3;Urban;c;arable field;c;c_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;04.08.2019;19.08.2019;216;231;223,5;15;6,53;0,44;0;18,13529948;72,7016224;757,8333333;7,724722222;3702728,561;5582170,587;558
5637_3_G;5637_3;Urban;c;meadow;b;c_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;08.04.2019;02.05.2019;98;122;110;24;21,74;0,91;0;8,465093333;70,72747;775,1666667;7,689166667;3703446,049;5580414,331;519
5637_3_G;5637_3;Urban;c;meadow;b;c_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;02.05.2019;16.05.2019;122;136;129;14;0,58;0,04;0;6,653855556;80,90741111;775,1666667;7,689166667;3703446,049;5580414,331;519
5637_3_G;5637_3;Urban;c;meadow;b;c_b;309;3;20;206;6;54;13;0;6;5;16.05.2019;31.05.2019;136;151;143,5;15;14,31;0,954;0;12,95042448;79,11505729;775,1666667;7,689166667;3703446,049;5580414,331;519
5637_3_G;5637_3;Urban;c;meadow;b;c_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;31.05.2019;15.06.2019;151;166;158,5;15;41,18;2,75;0;19,02758333;70,71595052;775,1666667;7,689166667;3703446,049;5580414,331;519
5637_3_G;5637_3;Urban;c;meadow;b;c_b;388;20;22;221;8;44;68;6;14;7;15.06.2019;04.07.2019;166;185;175,5;19;170,7;8,98;0;20,28195625;64,59821875;775,1666667;7,689166667;3703446,049;5580414,331;519
5637_3_G;5637_3;Urban;c;meadow;b;c_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;04.07.2019;19.07.2019;185;200;192,5;15;90,78;6,05;0;15,74870313;71,37833073;775,1666667;7,689166667;3703446,049;5580414,331;519
5637_3_G;5637_3;Urban;c;meadow;b;c_b;397;16;21;240;6;42;63;8;12;9;19.07.2019;04.08.2019;200;216;208;16;98,76;6,17;0;20,20189216;70,2427402;775,1666667;7,689166667;3703446,049;5580414,331;519
5637_3_G;5637_3;Urban;c;meadow;b;c_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;04.08.2019;19.08.2019;216;231;223,5;15;42,5;2,83;0;17,59540104;76,57040885;775,1666667;7,689166667;3703446,049;5580414,331;519
5637_3_U;5637_3;Urban;c;settlement;d;c_d;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;08.04.2019;02.05.2019;98;122;110;24;16,2;0,68;0;9,405756667;63,92828667;717,2333333;7,7475;3706417,544;5579381,856;536
5637_3_U;5637_3;Urban;c;settlement;d;c_d;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;02.05.2019;16.05.2019;122;136;129;14;4,63;0,33;0;7,449811111;74,69876667;717,2333333;7,7475;3706417,544;5579381,856;536
5637_3_U;5637_3;Urban;c;settlement;d;c_d;335;5;25;225;14;48;15;0;3;5;16.05.2019;31.05.2019;136;151;143,5;15;12,26;0,817333333;0;14,26761979;72,53577604;717,2333333;7,7475;3706417,544;5579381,856;536
5637_3_U;5637_3;Urban;c;settlement;d;c_d;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;31.05.2019;15.06.2019;151;166;158,5;15;26,57;1,77;0;21,50063802;60,84426563;717,2333333;7,7475;3706417,544;5579381,856;536
5637_3_U;5637_3;Urban;c;settlement;d;c_d;421;10;20;236;20;73;56;2;7;7;15.06.2019;04.07.2019;166;185;175,5;19;109;5,74;0;22,57735625;54,36733125;717,2333333;7,7475;3706417,544;5579381,856;536
5637_3_U;5637_3;Urban;c;settlement;d;c_d;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;04.07.2019;19.07.2019;185;200;192,5;15;36,09;2,41;0;17,03611719;64,78504688;717,2333333;7,7475;3706417,544;5579381,856;536
5637_3_U;5637_3;Urban;c;settlement;d;c_d;379;13;27;176;33;71;48;12;5;9;19.07.2019;04.08.2019;200;216;208;16;50,09;3,13;0;22,10038971;62,29236275;717,2333333;7,7475;3706417,544;5579381,856;536
5637_3_U;5637_3;Urban;c;settlement;d;c_d;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;04.08.2019;19.08.2019;216;231;223,5;15;36;2,4;0;18,67368229;71,71442448;717,2333333;7,7475;3706417,544;5579381,856;536
5728_2_A;5728_2;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;10.04.2019;29.04.2019;100;119;109,5;19;15,17;0,8;0;10,81336875;60,20234792;597,4;8,961666667;3603896,377;5573385,043;292
5728_2_A;5728_2;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;29.04.2019;15.05.2019;119;135;127;16;2,75;0,17;0;8,860536765;75,37288725;597,4;8,961666667;3603896,377;5573385,043;292
5728_2_A;5728_2;Agricultural;b;arable field;c;b_c;206;6;17;137;7;31;7;1;4;5;15.05.2019;31.05.2019;135;151;143;16;21,5;1,34375;0;13,74165196;78,37019363;597,4;8,961666667;3603896,377;5573385,043;292
5728_2_A;5728_2;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;31.05.2019;14.06.2019;151;165;158;14;56,17;4,01;0;19,11021667;74,57440278;597,4;8,961666667;3603896,377;5573385,043;292
5728_2_A;5728_2;Agricultural;b;arable field;c;b_c;270;5;15;168;7;39;33;0;4;7;14.06.2019;01.07.2019;165;182;173,5;17;89,7;5,28;0;22,51015278;66,61225694;597,4;8,961666667;3603896,377;5573385,043;292
5728_2_A;5728_2;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;01.07.2019;16.07.2019;182;197;189,5;15;42,08;2,81;0;18,05019792;65,79458333;597,4;8,961666667;3603896,377;5573385,043;292
5728_2_A;5728_2;Agricultural;b;arable field;c;b_c;203;3;23;102;9;36;15;4;6;9;16.07.2019;01.08.2019;197;213;205;16;86,75;5,42;0;22,84516912;62,04250245;597,4;8,961666667;3603896,377;5573385,043;292
5728_2_A;5728_2;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;01.08.2019;16.08.2019;213;228;220,5;15;39,21;2,61;0;19,23509896;71,81365625;597,4;8,961666667;3603896,377;5573385,043;292
5728_2_F;5728_2;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;10.04.2019;29.04.2019;100;119;109,5;19;27,98;1,47;0;12,34229583;56,77078542;689,9666667;8,481944444;3603249,002;5570272,775;380
5728_2_F;5728_2;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;29.04.2019;15.05.2019;119;135;127;16;9,09;0,57;0;9,280012255;74,38403431;689,9666667;8,481944444;3603249,002;5570272,775;380
5728_2_F;5728_2;Agricultural;b;forest;a;b_a;356;8;6;257;10;51;22;0;10;5;15.05.2019;31.05.2019;135;151;143;16;19,63;1,226875;0;13,76032353;77,75948039;689,9666667;8,481944444;3603249,002;5570272,775;380
5728_2_F;5728_2;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;31.05.2019;14.06.2019;151;165;158;14;27,59;1,97;0;18,98045833;73,82558611;689,9666667;8,481944444;3603249,002;5570272,775;380
5728_2_F;5728_2;Agricultural;b;forest;a;b_a;478;12;9;291;8;97;62;3;6;7;14.06.2019;01.07.2019;165;182;173,5;17;52,9;3,11;0;22,36153704;65,82214583;689,9666667;8,481944444;3603249,002;5570272,775;380
5728_2_F;5728_2;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;01.07.2019;16.07.2019;182;197;189,5;15;47,41;3,16;0;17,90914844;65,31492708;689,9666667;8,481944444;3603249,002;5570272,775;380
5728_2_F;5728_2;Agricultural;b;forest;a;b_a;483;14;17;278;24;97;48;3;8;9;16.07.2019;01.08.2019;197;213;205;16;59,83;3,74;0;22,35411029;63,83351225;689,9666667;8,481944444;3603249,002;5570272,775;380
5728_2_F;5728_2;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;01.08.2019;16.08.2019;213;228;220,5;15;19,13;1,28;0;18,46171615;77,07467188;689,9666667;8,481944444;3603249,002;5570272,775;380
5728_2_G;5728_2;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;10.04.2019;29.04.2019;100;119;109,5;19;14,47;0,76;0;9,62969375;64,96961458;595,2666667;9,096944444;3605819,467;5573896,372;274
5728_2_G;5728_2;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;29.04.2019;15.05.2019;119;135;127;16;4,08;0,26;0;8,370387255;81,89705392;595,2666667;9,096944444;3605819,467;5573896,372;274
5728_2_G;5728_2;Agricultural;b;meadow;b;b_b;303;2;25;185;13;52;21;0;3;5;15.05.2019;31.05.2019;135;151;143;16;20,57;1,285625;0;12,92425245;79,65841912;595,2666667;9,096944444;3605819,467;5573896,372;274
5728_2_G;5728_2;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;31.05.2019;14.06.2019;151;165;158;14;40,01;2,86;0;18,28694444;76,26955556;595,2666667;9,096944444;3605819,467;5573896,372;274
5728_2_G;5728_2;Agricultural;b;meadow;b;b_b;428;5;21;269;16;78;33;3;4;7;14.06.2019;01.07.2019;165;182;173,5;17;95,3;5,61;0;21,16417361;70,11307407;595,2666667;9,096944444;3605819,467;5573896,372;274
5728_2_G;5728_2;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;01.07.2019;16.07.2019;182;197;189,5;15;55,56;3,7;0;16,53355469;71,35909635;595,2666667;9,096944444;3605819,467;5573896,372;274
5728_2_G;5728_2;Agricultural;b;meadow;b;b_b;363;15;30;192;22;50;39;14;7;9;16.07.2019;01.08.2019;197;213;205;16;58,92;3,68;0;21,33733578;67,93689216;595,2666667;9,096944444;3605819,467;5573896,372;274
5728_2_G;5728_2;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;01.08.2019;16.08.2019;213;228;220,5;15;26,92;1,79;0;17,98557031;77,22679427;595,2666667;9,096944444;3605819,467;5573896,372;274
5737_3_A;5737_3;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;818,9;7,747777778;3703971,817;5569530,559;545
5737_3_A;5737_3;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;29.04.2019;15.05.2019;119;135;127;16;9,8;0,61;0;7,084186275;81,53518137;818,9;7,747777778;3703971,817;5569530,559;545
5737_3_A;5737_3;Agricultural;b;arable field;c;b_c;237;1;11;182;4;25;9;0;5;5;15.05.2019;30.05.2019;135;150;142,5;15;38,8;2,586666667;0;11,65769792;83,08633594;818,9;7,747777778;3703971,817;5569530,559;545
5737_3_A;5737_3;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;30.05.2019;14.06.2019;150;165;157,5;15;97,87;6,52;0;17,60974219;76,19243229;818,9;7,747777778;3703971,817;5569530,559;545
5737_3_A;5737_3;Agricultural;b;arable field;c;b_c;389;5;16;266;5;45;40;5;6;7;14.06.2019;03.07.2019;165;184;174,5;19;193,2;10,17;0;20,09439792;69,25221458;818,9;7,747777778;3703971,817;5569530,559;545
5737_3_A;5737_3;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;03.07.2019;18.07.2019;184;199;191,5;15;77,04;5,14;0;15,34885938;72,03801823;818,9;7,747777778;3703971,817;5569530,559;545
5737_3_A;5737_3;Agricultural;b;arable field;c;b_c;399;4;22;250;6;57;40;6;9;9;18.07.2029;03.08.2019;199;215;207;16;137,56;8,6;2;NA;NA;818,9;7,747777778;3703971,817;5569530,559;545
5737_3_A;5737_3;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;03.08.2019;17.08.2019;215;229;222;14;79,63;5,69;0;16,59930556;80,79308333;818,9;7,747777778;3703971,817;5569530,559;545
5737_3_F;5737_3;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;12.04.2019;02.05.2019;102;122;112;20;6,43;0,32;0;8,989132937;69,23248214;795,6;7,755555556;3706396,058;5570088,789;569
5737_3_F;5737_3;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;02.05.2019;15.05.2019;122;135;128,5;13;1,46;0,11;0;6,120732143;84,02517262;795,6;7,755555556;3706396,058;5570088,789;569
5737_3_F;5737_3;Agricultural;b;forest;a;b_a;202;6;22;110;9;40;4;1;14;5;15.05.2019;30.05.2019;135;150;142,5;15;8,37;0,558;0;11,40244792;82,40789583;795,6;7,755555556;3706396,058;5570088,789;569
5737_3_F;5737_3;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;30.05.2019;14.06.2019;150;165;157,5;15;23,55;1,57;0;17,50610156;71,62654948;795,6;7,755555556;3706396,058;5570088,789;569
5737_3_F;5737_3;Agricultural;b;forest;a;b_a;399;10;26;209;5;79;58;6;9;7;14.06.2019;03.07.2019;165;184;174,5;19;73,2;3,85;0;20,21961667;63,4316375;795,6;7,755555556;3706396,058;5570088,789;569
5737_3_F;5737_3;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;03.07.2019;18.07.2019;184;199;191,5;15;20,16;1,34;0;15,29970313;69,44864323;795,6;7,755555556;3706396,058;5570088,789;569
5737_3_F;5737_3;Agricultural;b;forest;a;b_a;361;8;15;195;10;90;31;4;10;9;18.07.2029;03.08.2019;199;215;207;16;36;2,25;2;NA;NA;795,6;7,755555556;3706396,058;5570088,789;569
5737_3_F;5737_3;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;03.08.2019;17.08.2019;215;229;222;14;13,49;0,96;0;16,08063611;84,60851389;795,6;7,755555556;3706396,058;5570088,789;569
5737_3_G;5737_3;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;12.04.2019;02.05.2019;102;122;112;20;9,39;0,47;0;8,646242063;71,487125;781,6666667;7,832222222;3706800,497;5568226,053;514
5737_3_G;5737_3;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;02.05.2019;15.05.2019;122;135;128,5;13;1,41;0,11;0;6,565979167;82,60179464;781,6666667;7,832222222;3706800,497;5568226,053;514
5737_3_G;5737_3;Agricultural;b;meadow;b;b_b;276;3;10;216;3;34;3;0;7;5;15.05.2019;30.05.2019;135;150;142,5;15;18,58;1,238666667;0;11,85894531;81,65319271;781,6666667;7,832222222;3706800,497;5568226,053;514
5737_3_G;5737_3;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;30.05.2019;14.06.2019;150;165;157,5;15;30,01;2;0;18,17483333;73,56929167;781,6666667;7,832222222;3706800,497;5568226,053;514
5737_3_G;5737_3;Agricultural;b;meadow;b;b_b;287;5;9;179;5;37;43;5;6;7;14.06.2019;03.07.2019;165;184;174,5;19;101,2;5,33;0;20,34592708;67,28480208;781,6666667;7,832222222;3706800,497;5568226,053;514
5737_3_G;5737_3;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;03.07.2019;18.07.2019;184;199;191,5;15;52,03;3,47;0;15,66161458;71,29078385;781,6666667;7,832222222;3706800,497;5568226,053;514
5737_3_G;5737_3;Agricultural;b;meadow;b;b_b;318;9;12;191;8;51;37;8;3;9;18.07.2029;03.08.2019;199;215;207;16;82,54;5,16;2;NA;NA;781,6666667;7,832222222;3706800,497;5568226,053;514
5737_3_G;5737_3;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;03.08.2019;17.08.2019;215;229;222;14;30;2,14;0;16,84751111;80,68730833;781,6666667;7,832222222;3706800,497;5568226,053;514
5837_4_A;5837_4;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;811,0333333;7,49;3711584,144;5560555,71;626
5837_4_A;5837_4;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;29.04.2019;15.05.2019;119;135;127;16;1,2;0,08;0;6,656156863;79,92078431;811,0333333;7,49;3711584,144;5560555,71;626
5837_4_A;5837_4;Agricultural;b;arable field;c;b_c;238;1;16;169;4;34;10;0;2;5;15.05.2019;30.05.2019;135;150;142,5;15;16,03;1,068666667;0;11,25367969;82,51016406;811,0333333;7,49;3711584,144;5560555,71;626
5837_4_A;5837_4;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;30.05.2019;14.06.2019;150;165;157,5;15;49,36;3,29;0;17,90852083;72,13923698;811,0333333;7,49;3711584,144;5560555,71;626
5837_4_A;5837_4;Agricultural;b;arable field;c;b_c;295;5;15;190;5;48;23;6;6;7;14.06.2019;03.07.2019;165;184;174,5;19;93;4,89;0;20,25870625;65,18987292;811,0333333;7,49;3711584,144;5560555,71;626
5837_4_A;5837_4;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;03.07.2019;18.07.2019;184;199;191,5;15;40,5;2,7;0;15,43415365;68,6123099;811,0333333;7,49;3711584,144;5560555,71;626
5837_4_A;5837_4;Agricultural;b;arable field;c;b_c;294;8;20;164;13;53;27;8;2;9;18.07.2019;02.08.2019;199;214;206,5;15;47,7;3,18;0;21,31484896;62,83402604;811,0333333;7,49;3711584,144;5560555,71;626
5837_4_A;5837_4;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;02.08.2019;17.08.2019;214;229;221,5;15;31,21;2,08;0;16,81505469;75,90150521;811,0333333;7,49;3711584,144;5560555,71;626
5837_4_F;5837_4;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;18.04.2019;07.05.2019;108;127;117,5;19;12,94;0,68;0;10,24430833;67,35429792;903,2;7,4125;3709964,089;5557350,679;680
5837_4_F;5837_4;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;07.05.2019;15.05.2019;127;135;131;8;3,5;0,44;0;7,401421296;78,91096759;903,2;7,4125;3709964,089;5557350,679;680
5837_4_F;5837_4;Agricultural;b;forest;a;b_a;289;4;23;214;8;27;7;4;5;5;15.05.2019;30.05.2019;135;150;142,5;15;23,27;1,551333333;0;12,23701302;78,05582031;903,2;7,4125;3709964,089;5557350,679;680
5837_4_F;5837_4;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;30.05.2019;14.06.2019;150;165;157,5;15;43,89;2,93;0;19,39688802;62,73033073;903,2;7,4125;3709964,089;5557350,679;680
