Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Candidatus Carsonella ruddii isolate TrAp2c chromosome,Candidatus Carsonella ruddii,457,543,10%,2e-122,75.19,170175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP176403.1?report=genbank&log$=nucltop&blast_rank=21&RID=UKWF56GV016"",""CP176403.1"")"
"Candidatus Vidania fulgoroideorum isolate OPOL1 chromosome, complete genome",Candidatus Vidania fulgoroideorum,566,566,12%,4e-155,75.14,135790,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP110501.1?report=genbank&log$=nucltop&blast_rank=22&RID=UKWF56GV016"",""CP110501.1"")"
"Candidatus Vidania fulgoroideorum isolate PYRCLA chromosome, complete genome",Candidatus Vidania fulgoroideorum,556,556,12%,2e-152,75.06,125539,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP094966.1?report=genbank&log$=nucltop&blast_rank=23&RID=UKWF56GV016"",""CP094966.1"")"
"MAG: Candidatus Carsonella ruddii isolate CRpyc chromosome, complete genome",Candidatus Carsonella ruddii,468,571,11%,1e-125,75.02,168917,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102600.1?report=genbank&log$=nucltop&blast_rank=24&RID=UKWF56GV016"",""CP102600.1"")"
"Endosymbiont of Sipalinus gigas DNA, complete genome, isolate: NARSGI1",endosymbiont of Sipalinus gigas,510,510,11%,2e-138,75.02,230546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP018162.1?report=genbank&log$=nucltop&blast_rank=25&RID=UKWF56GV016"",""AP018162.1"")"
"MAG: Candidatus Vidania fulgoroideorum isolate Lycdeli-V chromosome, complete genome",Candidatus Vidania fulgoroideorum,571,571,12%,8e-157,74.96,123659,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP199869.1?report=genbank&log$=nucltop&blast_rank=26&RID=UKWF56GV016"",""CP199869.1"")"
"Buchnera aphidicola (Ceratovacuna keduensis) strain Cerke05 chromosome, complete genome",Buchnera aphidicola (Ceratovacuna keduensis),494,494,11%,2e-133,74.94,413541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134994.1?report=genbank&log$=nucltop&blast_rank=27&RID=UKWF56GV016"",""CP134994.1"")"
MAG: Candidatus Stammera capleta isolate JMMFINPP_1 chromosome,Candidatus Stammera capleta,499,499,11%,4e-135,74.73,245200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP145599.1?report=genbank&log$=nucltop&blast_rank=28&RID=UKWF56GV016"",""CP145599.1"")"
"Candidatus Portiera aleyrodidarum TV, complete genome",Candidatus Portiera aleyrodidarum TV,416,416,9%,4e-110,74.72,280663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP004358.1?report=genbank&log$=nucltop&blast_rank=29&RID=UKWF56GV016"",""CP004358.1"")"
"Candidatus Portiera aleyrodidarum genome assembly TV-BCN.1, chromosome : I",Candidatus Portiera aleyrodidarum,416,416,9%,4e-110,74.72,280822,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN649236.1?report=genbank&log$=nucltop&blast_rank=30&RID=UKWF56GV016"",""LN649236.1"")"
"Candidatus Carsonella ruddii (Diaphorina cf. continua) Dco DNA, complete genome",Candidatus Carsonella ruddii (Diaphorina cf. continua),429,429,10%,5e-114,74.71,173853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP023214.1?report=genbank&log$=nucltop&blast_rank=31&RID=UKWF56GV016"",""AP023214.1"")"
Candidatus Carsonella ruddii isolate TUF20c chromosome,Candidatus Carsonella ruddii,429,429,10%,5e-114,74.69,174172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP176402.1?report=genbank&log$=nucltop&blast_rank=32&RID=UKWF56GV016"",""CP176402.1"")"
"MAG: Buchnera aphidicola (Ceratovacuna japonica) CjNOSY1 DNA, complete genome",Buchnera aphidicola (Ceratovacuna japonica),481,481,11%,1e-129,74.62,414725,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP026065.1?report=genbank&log$=nucltop&blast_rank=33&RID=UKWF56GV016"",""AP026065.1"")"
"MAG: Candidatus Carsonella ruddii isolate CRpyr chromosome, complete genome",Candidatus Carsonella ruddii,488,589,12%,9e-132,74.62,169399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116500.1?report=genbank&log$=nucltop&blast_rank=34&RID=UKWF56GV016"",""CP116500.1"")"
"Candidatus Vidania fulgoroideorum isolate OFIL1 chromosome, complete genome",Candidatus Vidania fulgoroideorum,508,508,12%,7e-138,74.52,136076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP110503.1?report=genbank&log$=nucltop&blast_rank=35&RID=UKWF56GV016"",""CP110503.1"")"
MAG: Candidatus Stammera capleta isolate CBJPGBEN chromosome,Candidatus Stammera capleta,401,401,9%,1e-105,74.48,325578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144853.1?report=genbank&log$=nucltop&blast_rank=36&RID=UKWF56GV016"",""CP144853.1"")"
MAG: Candidatus Shikimatogenerans bostrichidophilus isolate SANA chromosome,Candidatus Shikimatogenerans bostrichidophilus,416,416,10%,4e-110,74.46,184456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP099832.1?report=genbank&log$=nucltop&blast_rank=37&RID=UKWF56GV016"",""CP099832.1"")"
"Candidatus Vidania fulgoroideorum isolate OFIL2 chromosome, complete genome",Candidatus Vidania fulgoroideorum,508,508,12%,7e-138,74.44,136065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP110502.1?report=genbank&log$=nucltop&blast_rank=38&RID=UKWF56GV016"",""CP110502.1"")"
MAG: Candidatus Stammera capleta isolate NMKNNIEB chromosome,Candidatus Stammera capleta,401,401,9%,1e-105,74.38,301361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144825.1?report=genbank&log$=nucltop&blast_rank=39&RID=UKWF56GV016"",""CP144825.1"")"
"Candidatus Carsonella ruddii HC isolate Thao2000, complete genome",Candidatus Carsonella ruddii HC isolate Thao2000,407,407,10%,2e-107,74.35,166163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP003543.1?report=genbank&log$=nucltop&blast_rank=40&RID=UKWF56GV016"",""CP003543.1"")"
"Candidatus Carsonella ruddii strain CCH-AH chromosome, complete genome",Candidatus Carsonella ruddii,409,409,10%,7e-108,74.33,168969,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP197251.1?report=genbank&log$=nucltop&blast_rank=41&RID=UKWF56GV016"",""CP197251.1"")"
"Candidatus Portiera aleyrodidarum isolate PeMo genome assembly, chromosome: 1",Candidatus Portiera aleyrodidarum,394,394,9%,2e-103,74.27,277700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR744089.1?report=genbank&log$=nucltop&blast_rank=42&RID=UKWF56GV016"",""LR744089.1"")"
MAG: Candidatus Stammera capleta isolate IBJCIBIM chromosome,Candidatus Stammera capleta,383,383,9%,4e-100,74.09,313621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144774.1?report=genbank&log$=nucltop&blast_rank=43&RID=UKWF56GV016"",""CP144774.1"")"
"Candidatus Carsonella ruddii strain CCI-YNRL chromosome, complete genome",Candidatus Carsonella ruddii,451,451,11%,1e-120,74.07,168997,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP197250.1?report=genbank&log$=nucltop&blast_rank=44&RID=UKWF56GV016"",""CP197250.1"")"
"Candidatus Carsonella ruddii PC isolate NHV, complete genome",Candidatus Carsonella ruddii PC isolate NHV,396,563,12%,5e-104,74.01,159923,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP003545.1?report=genbank&log$=nucltop&blast_rank=45&RID=UKWF56GV016"",""CP003545.1"")"
"Candidatus Portiera aleyrodidarum genome assembly AF-CAI.1, chromosome : I",Candidatus Portiera aleyrodidarum,372,372,9%,9e-97,73.89,290376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN734649.1?report=genbank&log$=nucltop&blast_rank=46&RID=UKWF56GV016"",""LN734649.1"")"
MAG: Candidatus Shikimatogenerans bostrichidophilus isolate HHAM chromosome,Candidatus Shikimatogenerans bostrichidophilus,370,370,10%,3e-96,73.77,189481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP099830.1?report=genbank&log$=nucltop&blast_rank=47&RID=UKWF56GV016"",""CP099830.1"")"
"Candidatus Vidania fulgoroideorum isolate CALKRU chromosome, complete genome",Candidatus Vidania fulgoroideorum,459,459,12%,7e-123,73.66,122629,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071411.1?report=genbank&log$=nucltop&blast_rank=48&RID=UKWF56GV016"",""CP071411.1"")"
"Candidatus Vidania fulgoroideorum isolate RANSCY chromosome, complete genome",Candidatus Vidania fulgoroideorum,420,420,11%,3e-111,73.41,125763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071412.1?report=genbank&log$=nucltop&blast_rank=49&RID=UKWF56GV016"",""CP071412.1"")"
MAG: Candidatus Shikimatogenerans sp. Tcar chromosome,Candidatus Shikimatogenerans sp. Tcar,370,370,10%,3e-96,73.35,162419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP157896.2?report=genbank&log$=nucltop&blast_rank=50&RID=UKWF56GV016"",""CP157896.2"")"



		


